Algorithm,InputSize,InputType,ExecutionTimeNs,RecursionDepth,AdditionalMetric,MetricName
MergeSort,100,random,41400,4,552,comparisons
MergeSort,100,sorted,27800,4,288,comparisons
MergeSort,100,reverse_sorted,19700,4,460,comparisons
MergeSort,100,duplicate,24500,4,542,comparisons
QuickSort,100,random,62100,5,304,swaps
QuickSort,100,sorted,41900,4,108,swaps
QuickSort,100,reverse_sorted,35100,4,376,swaps
QuickSort,100,duplicate,43400,4,219,swaps
DeterministicSelect,100,random,43100,5,628,comparisons
DeterministicSelect,100,sorted,40900,4,434,comparisons
DeterministicSelect,100,reverse_sorted,47300,4,691,comparisons
DeterministicSelect,100,duplicate,31900,4,541,comparisons
ClosestPair,100,random,27138500,6,625,comparisons
ClosestPair,100,sorted,78500,6,625,comparisons
ClosestPair,100,reverse_sorted,67800,6,625,comparisons
ClosestPair,100,duplicate,135900,6,608,comparisons
MergeSort,500,random,172800,6,4050,comparisons
MergeSort,500,sorted,60600,6,1952,comparisons
MergeSort,500,reverse_sorted,30200,6,3192,comparisons
MergeSort,500,duplicate,49900,6,3893,comparisons
QuickSort,500,random,188900,5,2440,swaps
QuickSort,500,sorted,51300,6,484,swaps
QuickSort,500,reverse_sorted,34600,6,2430,swaps
QuickSort,500,duplicate,58700,3,1457,swaps
DeterministicSelect,500,random,116000,7,3267,comparisons
DeterministicSelect,500,sorted,75700,6,2481,comparisons
DeterministicSelect,500,reverse_sorted,89700,7,3919,comparisons
DeterministicSelect,500,duplicate,297900,44,6670,comparisons
ClosestPair,500,random,610500,8,4401,comparisons
ClosestPair,500,sorted,134000,8,4401,comparisons
ClosestPair,500,reverse_sorted,205000,8,4401,comparisons
ClosestPair,500,duplicate,341400,8,4232,comparisons
MergeSort,1000,random,1028400,7,9088,comparisons
MergeSort,1000,sorted,42400,7,4404,comparisons
MergeSort,1000,reverse_sorted,74200,7,6884,comparisons
MergeSort,1000,duplicate,89900,7,8757,comparisons
QuickSort,1000,random,90300,7,5215,swaps
QuickSort,1000,sorted,42900,6,1004,swaps
QuickSort,1000,reverse_sorted,47900,6,4744,swaps
QuickSort,1000,duplicate,95600,3,3766,swaps
DeterministicSelect,1000,random,53200,8,7237,comparisons
DeterministicSelect,1000,sorted,32000,7,5191,comparisons
DeterministicSelect,1000,reverse_sorted,25500,7,8067,comparisons
DeterministicSelect,1000,duplicate,188900,40,33506,comparisons
ClosestPair,1000,random,1125200,9,9798,comparisons
ClosestPair,1000,sorted,193700,9,9798,comparisons
ClosestPair,1000,reverse_sorted,143200,9,9798,comparisons
ClosestPair,1000,duplicate,854600,9,9464,comparisons
MergeSort,2000,random,527000,8,20296,comparisons
MergeSort,2000,sorted,130000,8,9808,comparisons
MergeSort,2000,reverse_sorted,103500,8,14770,comparisons
MergeSort,2000,duplicate,264700,8,19415,comparisons
QuickSort,2000,random,102500,7,13896,swaps
QuickSort,2000,sorted,78600,6,1997,swaps
QuickSort,2000,reverse_sorted,94600,7,9931,swaps
QuickSort,2000,duplicate,210500,3,6827,swaps
DeterministicSelect,2000,random,115500,9,15629,comparisons
DeterministicSelect,2000,sorted,30800,8,10757,comparisons
DeterministicSelect,2000,reverse_sorted,37700,9,16787,comparisons
DeterministicSelect,2000,duplicate,386700,186,176341,comparisons
ClosestPair,2000,random,2376500,10,21596,comparisons
ClosestPair,2000,sorted,211100,10,21596,comparisons
ClosestPair,2000,reverse_sorted,171400,10,21596,comparisons
ClosestPair,2000,duplicate,1560200,10,20928,comparisons
MergeSort,5000,random,610200,9,58580,comparisons
MergeSort,5000,sorted,433100,9,27124,comparisons
MergeSort,5000,reverse_sorted,506800,9,44325,comparisons
MergeSort,5000,duplicate,599100,9,56107,comparisons
QuickSort,5000,random,471500,8,35719,swaps
QuickSort,5000,sorted,228800,7,4975,swaps
QuickSort,5000,reverse_sorted,190200,8,26069,swaps
QuickSort,5000,duplicate,907600,3,13803,swaps
DeterministicSelect,5000,random,173500,10,39010,comparisons
DeterministicSelect,5000,sorted,88700,9,27433,comparisons
DeterministicSelect,5000,reverse_sorted,131900,10,42814,comparisons
DeterministicSelect,5000,duplicate,2248700,118,982037,comparisons
ClosestPair,5000,random,4528600,11,59916,comparisons
ClosestPair,5000,sorted,459600,11,59916,comparisons
ClosestPair,5000,reverse_sorted,518900,11,59916,comparisons
ClosestPair,5000,duplicate,4005300,11,58856,comparisons
MergeSort,10000,random,821500,10,127157,comparisons
MergeSort,10000,sorted,225900,10,59248,comparisons
MergeSort,10000,reverse_sorted,162000,10,93653,comparisons
MergeSort,10000,duplicate,756900,10,121485,comparisons
QuickSort,10000,random,795400,9,73601,swaps
QuickSort,10000,sorted,380200,8,9987,swaps
QuickSort,10000,reverse_sorted,436300,8,57304,swaps
QuickSort,10000,duplicate,3854900,3,29919,swaps
DeterministicSelect,10000,random,505900,11,79407,comparisons
DeterministicSelect,10000,sorted,188900,11,56193,comparisons
DeterministicSelect,10000,reverse_sorted,292000,11,87679,comparisons
DeterministicSelect,10000,duplicate,14024600,221,6810682,comparisons
ClosestPair,10000,random,5390800,12,129858,comparisons
ClosestPair,10000,sorted,1766800,12,129858,comparisons
ClosestPair,10000,reverse_sorted,1466200,12,129858,comparisons
ClosestPair,10000,duplicate,4078200,12,127712,comparisons
